number,value,datetime_start,datetime_complete,duration,params_dropout,params_grad_clip,params_label_smoothing,params_learning_rate,params_scheduler,params_weight_decay,state
15,1.3765626505365145,2026-08-04 21:18:48.039234,2026-08-04 21:20:39.022262,0 days 00:01:50.983028,0.01277474740527157,0.0,0.0,0.001518801140754558,none,1.0184360594721678e-06,COMPLETE
16,1.3925074909067132,2026-08-04 21:20:39.022633,2026-08-04 21:22:29.917999,0 days 00:01:50.895366,0.06940641877629378,0.0,0.0,0.0012624605490638573,none,1.0518341862777052e-06,COMPLETE
17,1.3523574179166329,2026-08-04 21:22:29.918353,2026-08-04 21:24:21.206790,0 days 00:01:51.288437,0.1704631408477737,0.0,0.0,0.0009903053868474602,cosine,3.1381149231882142e-06,COMPLETE
18,1.3758487859079354,2026-08-04 21:24:21.207188,2026-08-04 21:26:12.472006,0 days 00:01:51.264818,0.0473233604824976,0.0,0.0,0.003916411228115347,none,2.0721286450187297e-06,COMPLETE
19,1.3977589503810524,2026-08-04 21:26:12.472369,2026-08-04 21:28:04.225336,0 days 00:01:51.752967,0.14085502903696012,1.0,0.0,0.0021481673845904657,none,1.6529987057074453e-05,COMPLETE
20,1.4067789291443071,2026-08-04 21:28:04.225732,2026-08-04 21:29:56.781964,0 days 00:01:52.556232,0.006589607190461727,1.0,0.02,0.0011627005121762264,cosine,1.2068605164306055e-06,COMPLETE
21,1.3499649963123515,2026-08-04 21:29:56.782335,2026-08-04 21:31:48.664645,0 days 00:01:51.882310,0.2675027929807435,0.5,0.0,0.0001726480230951823,none,6.1549789242002044e-06,COMPLETE
22,1.3206748865565812,2026-08-04 21:31:48.665039,2026-08-04 21:33:40.737605,0 days 00:01:52.072566,0.28810185696593177,0.5,0.0,0.0005952037081015562,none,2.710691963082775e-06,COMPLETE
23,1.3613054916050948,2026-08-04 21:33:40.737969,2026-08-04 21:35:33.243263,0 days 00:01:52.505294,0.4257749323996695,0.0,0.0,0.0006128536065174435,none,1.3253346902756226e-05,COMPLETE
24,1.366394717296054,2026-08-04 21:35:33.243645,2026-08-04 21:37:25.636492,0 days 00:01:52.392847,0.20568423906435412,0.0,0.0,0.0014466666431605798,none,3.76556224595486e-05,COMPLETE
25,1.340742264647995,2026-08-04 21:37:25.637014,2026-08-04 21:39:17.949273,0 days 00:01:52.312259,0.4271880090909932,0.5,0.0,0.0004065670435960194,none,6.129178897035189e-06,COMPLETE
26,1.4011690738930656,2026-08-04 21:39:17.949630,2026-08-04 21:41:09.861072,0 days 00:01:51.911442,0.0506316567219246,1.0,0.0,0.003079111802765494,none,1.7177880840316503e-06,COMPLETE
27,1.3916923661430955,2026-08-04 21:41:09.861460,2026-08-04 21:43:01.961072,0 days 00:01:52.099612,0.11400953879289172,0.0,0.0,0.001782132009936774,none,4.425187802816785e-06,COMPLETE
28,1.350045244302481,2026-08-04 21:43:01.961477,2026-08-04 21:44:54.239410,0 days 00:01:52.277933,0.31889842805449636,1.0,0.0,0.00018644510057737066,none,2.5816226769698524e-05,COMPLETE
29,1.3497977659374503,2026-08-04 21:44:54.239822,2026-08-04 21:46:46.909876,0 days 00:01:52.670054,0.40670872877949515,0.5,0.02,0.0007546048826046768,cosine,8.20139834188925e-05,COMPLETE
