,AllGestureWiimoteX,AllGestureWiimoteY,AllGestureWiimoteZ,Car,ChlorineConcentration,CinCECGTorso,DodgerLoopDay,DodgerLoopGame,DodgerLoopWeekend,Earthquakes,FordA,FordB,FreezerRegularTrain,FreezerSmallTrain,GesturePebbleZ1,GesturePebbleZ2,InsectWingbeatSound,ItalyPowerDemand,Lightning2,Lightning7,MoteStrain,Phoneme,PickupGestureWiimoteZ,Plane,ShakeGestureWiimoteZ,SonyAIBORobotSurface1,SonyAIBORobotSurface2,StarLightCurves,Trace,Wafer
FordA,0.7752630560887773,0.8474978611878378,0.7571087420229274,0.9053456013337514,0.7022448911122768,0.6741774559052027,0.9033758963566278,0.8848687742214913,0.8780069546746491,0.6546164045351742,0.0,0.4378882941424316,0.99324133070533,0.9834901192450548,0.9116085750444605,0.9366487850805713,0.8852954179232861,0.8643188257242358,0.844096408483599,0.8811142164452483,0.8210062100607821,0.5878032514531981,0.839440389099392,0.9531202774088189,0.6499911263845796,0.7924924569692654,0.65614281714293,0.8210365233948402,0.9871250084741661,0.9053231062214782
FordB,0.861250172887801,0.8727617077796126,0.8441853648229956,0.8208943824713337,0.6716279318579863,0.7456688321362228,0.8483500307979951,0.827864710391173,0.8393708120331022,0.6223621218117298,0.4378882941424316,0.0,0.882667886130507,0.8713474119707884,0.8897610736946221,0.9181409351020308,0.8628539147478598,0.8796253134136992,0.8543762899166175,0.8476854391605939,0.8454238997100364,0.5432691752955153,0.8326497324623894,0.8577957130988446,0.7059750327058755,0.8298272178099688,0.6993375874514622,0.8753375118384423,0.9763061397758704,0.8359707733770282
FreezerRegularTrain,0.6310648124575171,0.37346480883927474,0.6572027860555238,0.9166785247806561,0.9030298799956894,0.9273596626150459,0.1934784763059062,0.21915310060001988,0.21769173583864998,0.8691837908378716,0.99324133070533,0.882667886130507,0.0,0.02078807816725421,0.9910237339114175,0.9793995024933254,0.43561527679173695,0.3474415651326181,0.5310604888565158,0.47869457004600063,0.35324725561919934,0.8997180977086622,0.9218923343934216,0.9799662600396778,0.8503633956443524,0.8258896884362088,0.8898558841369237,0.7864015344806857,1.0394832380738817,0.32317211651006716
FreezerSmallTrain,0.6192763900922585,0.3746465659309577,0.6262022533038389,0.9271818266020052,0.8986554490763065,0.9105402523999205,0.21234004785607877,0.23635019425534842,0.2359442789294449,0.8656198095992323,0.9834901192450548,0.8713474119707884,0.02078807816725421,0.0,0.958875098320584,0.9448200008906518,0.44901988350587374,0.34882291432359075,0.5302424564237666,0.47946852125859857,0.3630865887020996,0.8850821736199689,0.9146448264221141,0.9711706982660303,0.8358410818482284,0.8164344976271969,0.8858724354319173,0.7907890549648391,1.0324531183120955,0.3419845295812789
GesturePebbleZ1,0.33879224892296667,0.9437888409244958,0.5764528917697459,0.5234307431215073,0.5709516801466454,0.6349404924689707,0.46051748384328184,0.4634739113389453,0.4596537498117751,0.8766606741498028,0.9116085750444605,0.8897610736946221,0.9910237339114175,0.958875098320584,0.0,0.06611983913894011,1.1339402487327055,0.34186383477217647,0.581976279362139,0.5215808484178457,0.8547846403020063,0.6967613953328037,0.4071782306127551,0.38991504153672424,0.660487472882771,0.6011459428011277,0.6826860851240039,0.6101100578404179,0.2825007398002848,0.885291449811702
GesturePebbleZ2,0.3345408078183693,0.9575528853446883,0.6015275593064989,0.5995069060252045,0.6020379390272486,0.6914864827792704,0.4733530963147906,0.46348714992911233,0.45362320966908887,0.9144879996506056,0.9366487850805713,0.9181409351020308,0.9793995024933254,0.9448200008906518,0.06611983913894011,0.0,1.104055139889061,0.3244610135384153,0.5775020489719117,0.5246118188566663,0.8061708436470297,0.7425317876225086,0.42287777541351196,0.44966757905911686,0.666001950570593,0.5736897906031314,0.7086334258517453,0.5107203760879238,0.277599157336726,0.8660192745219808
InsectWingbeatSound,1.272301568050294,0.2841125040351523,0.7485428199812202,0.7423573422432839,0.63346598067804,0.7127110949251023,0.5317544493831997,0.5380026572117819,0.5504177452362718,0.7502520652701198,0.8852954179232861,0.8628539147478598,0.43561527679173695,0.44901988350587374,1.1339402487327055,1.104055139889061,0.0,0.9456994548722342,0.4122936126384409,0.4643843476832867,0.3524283079329853,0.765709363759152,0.9454378354286241,0.7239909405128431,0.6424413288924576,0.7417774348443728,0.57243397990938,0.44976285388853177,1.6656419158562483,0.4191052985209404
ItalyPowerDemand,0.28897897507758513,0.6670451013859254,0.49922783431886686,0.705460166996509,0.8509328680968867,0.7896216147636226,0.1436919981321804,0.16136969817668131,0.15581881012289325,0.8184484736962634,0.8643188257242358,0.8796253134136992,0.3474415651326181,0.34882291432359075,0.34186383477217647,0.3244610135384153,0.9456994548722342,0.0,0.31145781818241536,0.2544734521357878,0.4780977529815989,0.7919270629120964,0.5249545567629116,0.6982994757684,0.7219742159732644,0.5709216484400467,0.6745018583643003,0.9887429968272251,0.41788109569411214,0.4659020118642403
Lightning2,0.5379700875535961,0.25075481302211317,0.639751098128377,0.7828287551854668,0.8393908324498516,0.7793250581414439,0.25405609214982783,0.25326417838444937,0.24473529406172273,0.8518461692056389,0.844096408483599,0.8543762899166175,0.5310604888565158,0.5302424564237666,0.581976279362139,0.5775020489719117,0.4122936126384409,0.31145781818241536,0.0,0.10135263451891646,0.32851129191957446,0.7612334827041313,0.7208217247947489,0.8437939803720144,0.7340693095254521,0.6426292684784624,0.6446462796815089,0.8348414334087704,0.44870705134670097,0.31235564092626394
Lightning7,0.4722555546656613,0.3196173247673496,0.6449881693106907,0.7920094437589756,0.8617966440577611,0.8240174649507125,0.20974373137473862,0.21076958824750697,0.20770526001381318,0.8618771517618309,0.8811142164452483,0.8476854391605939,0.47869457004600063,0.47946852125859857,0.5215808484178457,0.5246118188566663,0.4643843476832867,0.2544734521357878,0.10135263451891646,0.0,0.3357007146137049,0.7936694026562424,0.7046660249643566,0.8425485530861188,0.801059409207144,0.6486013826835675,0.7002373283383042,0.8444552901904343,0.43562230457021445,0.251488655041585
